No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,cluster
136,2013,3,6,15,246.0,277.0,140.0,157.0,2899.0,10.0,14.7,1005.5,-3.2,0.0,SSW,2.5,Aotizhongxin,3
137,2013,3,6,16,248.0,285.0,154.0,146.0,2799.0,17.0,14.2,1005.5,-3.2,0.0,S,1.4,Aotizhongxin,3
138,2013,3,6,17,230.0,276.0,145.0,171.0,3200.0,17.0,11.6,1005.9,-3.4,0.0,SSW,1.1,Aotizhongxin,3
139,2013,3,6,18,239.0,291.0,142.0,177.0,3500.0,17.0,6.8,1006.8,-2.9,0.0,WSW,0.9,Aotizhongxin,3
140,2013,3,6,19,242.0,338.0,124.0,164.0,3700.0,17.0,5.1,1007.6,-2.5,0.0,WSW,1.2,Aotizhongxin,3
141,2013,3,6,20,254.0,396.0,107.0,154.0,4200.0,17.0,4.4,1008.2,-2.5,0.0,SSW,1.1,Aotizhongxin,3
142,2013,3,6,21,266.0,380.0,117.0,159.0,3799.0,17.0,3.8,1007.7,-2.2,0.0,WSW,1.9,Aotizhongxin,3
143,2013,3,6,22,254.0,335.0,111.0,148.0,4099.0,17.0,2.4,1007.3,-2.5,0.0,WSW,1.2,Aotizhongxin,3
144,2013,3,6,23,260.0,360.0,119.0,145.0,4000.0,17.0,2.3,1007.2,-2.4,0.0,NNE,1.3,Aotizhongxin,3
145,2013,3,7,0,250.0,319.0,102.0,139.0,4000.0,17.0,1.5,1007.1,-2.6,0.0,NNE,0.8,Aotizhongxin,3
146,2013,3,7,1,240.0,297.0,91.0,127.0,4000.0,17.0,0.7,1007.1,-2.7,0.0,SE,1.2,Aotizhongxin,3
147,2013,3,7,2,238.0,294.0,83.0,133.0,4000.0,17.0,1.5,1006.9,-2.5,0.0,NNE,0.6,Aotizhongxin,3
148,2013,3,7,3,243.0,293.0,86.0,121.0,4099.0,17.0,0.3,1006.5,-2.7,0.0,WNW,1.7,Aotizhongxin,3
149,2013,3,7,4,246.0,304.0,57.0,113.0,5000.0,17.0,-0.9,1006.4,-3.3,0.0,N,0.5,Aotizhongxin,3
150,2013,3,7,5,275.0,337.0,46.0,103.0,5599.0,17.0,1.6,1006.7,-1.5,0.0,NNE,1.7,Aotizhongxin,3
151,2013,3,7,6,306.0,366.0,41.0,114.0,5700.0,17.0,0.3,1006.6,-2.7,0.0,SW,0.4,Aotizhongxin,3
152,2013,3,7,7,320.0,374.0,46.0,124.0,4599.0,17.0,2.4,1006.8,-1.4,0.0,NNE,1.5,Aotizhongxin,3
153,2013,3,7,8,292.0,344.0,78.0,106.0,3700.0,17.0,8.3,1006.5,-1.0,0.0,NNE,0.8,Aotizhongxin,3
154,2013,3,7,9,251.0,282.0,182.0,116.0,3299.0,17.0,10.1,1006.1,-0.7,0.0,W,0.6,Aotizhongxin,3
155,2013,3,7,10,228.0,255.0,166.0,135.0,3200.0,17.0,12.7,1005.5,-1.6,0.0,ENE,1.2,Aotizhongxin,3
156,2013,3,7,11,217.0,255.0,169.0,171.0,4000.0,17.0,16.5,1003.6,-1.6,0.0,WSW,1.7,Aotizhongxin,3
157,2013,3,7,12,255.0,311.0,154.0,201.0,4000.0,17.0,17.1,1001.6,-3.1,0.0,SSW,3.7,Aotizhongxin,3
158,2013,3,7,13,258.0,283.0,111.0,226.0,3700.0,17.0,17.7,1000.2,-3.2,0.0,SW,3.1,Aotizhongxin,3
159,2013,3,7,14,277.0,284.0,102.0,167.0,2899.0,39.0,18.3,998.6,-3.2,0.0,SSW,3.6,Aotizhongxin,3
160,2013,3,7,15,282.0,326.0,79.0,130.0,2399.0,61.0,18.6,997.6,-1.8,0.0,SSW,3.3,Aotizhongxin,3
161,2013,3,7,16,267.0,310.0,62.0,97.0,1899.0,80.0,17.9,997.2,-0.9,0.0,SW,1.9,Aotizhongxin,3
162,2013,3,7,17,216.0,257.0,64.0,86.0,1600.0,84.0,15.4,997.1,-1.7,0.0,NNW,1.4,Aotizhongxin,3
163,2013,3,7,18,201.0,255.0,76.0,125.0,1899.0,84.0,14.4,997.4,-2.5,0.0,N,1.9,Aotizhongxin,3
164,2013,3,7,19,211.0,287.0,79.0,173.0,2399.0,10.0,13.4,997.9,-2.6,0.0,NNE,1.5,Aotizhongxin,3
165,2013,3,7,20,227.0,298.0,99.0,207.0,3399.0,84.0,11.8,997.7,-2.1,0.0,NE,1.5,Aotizhongxin,3
166,2013,3,7,21,282.0,377.0,114.0,213.0,4000.0,84.0,9.2,997.9,-1.3,0.0,NNE,1.4,Aotizhongxin,3
167,2013,3,7,22,363.0,452.0,126.0,210.0,4000.0,84.0,7.5,998.3,-1.2,0.0,NE,1.3,Aotizhongxin,3
168,2013,3,7,23,376.0,426.0,128.0,209.0,3799.0,84.0,6.6,998.4,-0.9,0.0,E,0.1,Aotizhongxin,3
169,2013,3,8,0,344.0,389.0,107.0,195.0,3799.0,84.0,4.1,998.2,-1.3,0.0,ESE,0.0,Aotizhongxin,3
170,2013,3,8,1,339.0,370.0,90.0,177.0,4099.0,84.0,3.3,998.5,-1.7,0.0,N,0.9,Aotizhongxin,3
171,2013,3,8,2,339.0,400.0,80.5,162.0,3899.0,84.0,2.5,998.2,-1.9,0.0,SW,0.8,Aotizhongxin,3
172,2013,3,8,3,324.0,373.0,71.0,154.0,3599.0,84.0,1.8,997.9,-1.8,0.0,N,0.0,Aotizhongxin,3
173,2013,3,8,4,322.0,345.0,62.0,149.0,3299.0,84.0,1.3,998.5,-1.8,0.0,W,1.0,Aotizhongxin,3
174,2013,3,8,5,315.0,346.0,47.0,144.0,3200.0,84.0,1.4,999.0,-1.5,0.0,SW,0.8,Aotizhongxin,3
175,2013,3,8,6,310.0,327.0,45.0,146.0,3299.0,84.0,1.1,999.7,-1.8,0.0,WSW,0.8,Aotizhongxin,3
176,2013,3,8,7,309.0,318.0,44.0,145.0,4099.0,84.0,5.7,1000.4,0.5,0.0,NNE,1.0,Aotizhongxin,3
177,2013,3,8,8,310.0,337.0,88.0,137.0,4900.0,84.0,10.9,1000.8,1.4,0.0,SE,0.7,Aotizhongxin,3
178,2013,3,8,9,326.0,371.0,144.0,149.0,5200.0,84.0,16.9,1001.1,-0.4,0.0,E,1.0,Aotizhongxin,3
179,2013,3,8,10,326.0,844.0,125.9496,179.2269,4150.0,84.0,19.1,1000.9,-0.4,0.0,SSW,1.9,Aotizhongxin,3
180,2013,3,8,11,219.0,362.0,83.0,160.0,3100.0,84.0,20.5,1000.5,-3.3,0.0,SSW,4.4,Aotizhongxin,3
181,2013,3,8,12,104.0,194.0,37.0,101.0,1399.0,84.0,21.7,999.4,-2.3,0.0,S,3.0,Aotizhongxin,3
182,2013,3,8,13,121.0,225.0,40.0,96.0,1300.0,84.0,22.5,998.2,-2.3,0.0,S,3.3,Aotizhongxin,3
183,2013,3,8,14,184.0,348.0,49.0,104.0,1800.0,84.0,17.4,998.3,1.4,0.0,ESE,4.5,Aotizhongxin,3
184,2013,3,8,15,330.0,508.0,102.0,139.0,3600.0,84.0,13.9,999.5,1.2,0.0,ESE,2.7,Aotizhongxin,3
185,2013,3,8,16,172.0,284.0,84.0,84.0,1700.0,84.0,11.9,1000.2,0.0,0.0,ESE,2.6,Aotizhongxin,3
186,2013,3,8,17,114.0,181.0,68.0,68.0,1100.0,68.0,10.3,999.9,-0.5,0.0,SE,2.8,Aotizhongxin,3
202,2013,3,9,9,113.0,166.0,108.0,86.0,1899.0,68.0,16.3,995.9,-0.4,0.0,NNW,3.3,Aotizhongxin,3
203,2013,3,9,10,145.0,272.0,122.0,86.0,2200.0,68.0,16.7,998.3,-4.6,0.0,NNW,7.7,Aotizhongxin,3
204,2013,3,9,11,69.0,587.0,50.0,21.0,400.0,68.0,14.3,1001.3,-9.1,0.0,NNW,7.4,Aotizhongxin,3
205,2013,3,9,12,78.0,607.5,10.0,10.0,300.0,68.0,12.4,1004.3,-14.4,0.0,NW,7.9,Aotizhongxin,3
206,2013,3,9,13,49.0,628.0,4.0,7.0,300.0,76.0,10.3,1006.5,-17.0,0.0,NNW,7.2,Aotizhongxin,3
207,2013,3,9,14,47.0,662.0,3.0,6.0,300.0,81.0,10.5,1008.1,-16.8,0.0,NNW,6.7,Aotizhongxin,3
208,2013,3,9,15,28.0,443.0,3.0,8.0,300.0,81.0,10.2,1009.4,-17.1,0.0,N,3.9,Aotizhongxin,3
209,2013,3,9,16,21.0,263.0,3.0,9.0,300.0,81.0,10.5,1010.8,-17.8,0.0,N,4.8,Aotizhongxin,3
249,2013,3,11,8,113.0,184.0,71.0,77.0,2600.0,84.0,3.1,1017.5,-8.6,0.0,NE,1.8,Aotizhongxin,3
250,2013,3,11,9,120.0,196.0,96.0,89.0,2500.0,84.0,4.6,1016.8,-8.2,0.0,NE,1.8,Aotizhongxin,3
251,2013,3,11,10,141.0,205.0,102.0,97.0,2500.0,84.0,6.7,1016.0,-8.1,0.0,NNE,1.4,Aotizhongxin,3
252,2013,3,11,11,140.0,198.0,96.0,105.0,2299.0,84.0,7.6,1015.0,-8.1,0.0,N,1.3,Aotizhongxin,3
253,2013,3,11,12,149.0,207.0,99.0,118.0,2200.0,84.0,9.7,1013.4,-7.5,0.0,NNW,1.6,Aotizhongxin,3
254,2013,3,11,13,150.0,189.0,114.0,124.0,2100.0,84.0,11.3,1012.3,-7.1,0.0,S,3.5,Aotizhongxin,3
257,2013,3,11,16,113.0,162.0,109.0,76.0,1100.0,76.0,10.4,1009.5,-6.5,0.0,SSW,3.4,Aotizhongxin,3
258,2013,3,11,17,132.0,198.0,148.0,90.0,1700.0,76.0,9.7,1009.7,-5.8,0.0,SSW,2.1,Aotizhongxin,3
259,2013,3,11,18,149.0,253.0,161.0,100.0,2100.0,71.0,9.7,1009.8,-5.1,0.0,S,2.0,Aotizhongxin,3
260,2013,3,11,19,144.0,233.0,90.0,98.0,1500.0,51.0,9.6,1010.0,-4.4,0.0,S,1.5,Aotizhongxin,3
261,2013,3,11,20,156.0,214.0,103.0,116.0,1899.0,47.0,9.8,1010.4,-2.8,0.0,SSE,1.3,Aotizhongxin,3
262,2013,3,11,21,174.0,246.0,124.0,121.0,2200.0,47.0,9.6,1009.8,-2.7,0.0,SSW,1.5,Aotizhongxin,3
263,2013,3,11,22,152.0,196.0,88.0,109.0,1600.0,47.0,9.3,1009.2,-4.0,0.0,SSW,1.5,Aotizhongxin,3
267,2013,3,12,2,125.0,159.0,56.0,86.0,1899.0,47.0,5.3,1005.8,-1.0,0.0,ESE,0.2,Aotizhongxin,3
270,2013,3,12,5,140.0,237.0,34.0,74.0,2100.0,47.0,4.7,1006.1,1.5,0.1,NNE,1.3,Aotizhongxin,3
271,2013,3,12,6,146.0,165.0,22.0,66.0,2100.0,47.0,4.1,1006.2,2.6,0.9,W,1.0,Aotizhongxin,3
284,2013,3,12,19,137.0,140.0,20.0,75.0,2000.0,12.0,3.3,1012.5,2.1,0.0,WSW,0.5,Aotizhongxin,3
285,2013,3,12,20,160.0,140.0,17.0,74.0,1800.0,12.0,2.9,1014.1,2.2,0.0,N,0.7,Aotizhongxin,3
335,2013,3,14,22,140.0,158.0,54.0,100.0,1600.0,52.0,1.4,1018.2,-1.8,0.0,SE,0.0,Aotizhongxin,3
336,2013,3,14,23,162.0,179.0,54.0,97.0,1700.0,52.0,1.6,1017.7,-1.8,0.0,ENE,1.1,Aotizhongxin,3
337,2013,3,15,0,165.0,176.0,46.0,91.0,1700.0,52.0,2.3,1017.8,-2.2,0.0,NE,1.2,Aotizhongxin,3
338,2013,3,15,1,180.0,211.0,42.0,80.0,2700.0,52.0,2.4,1017.4,-2.5,0.0,NE,1.8,Aotizhongxin,3
339,2013,3,15,2,183.0,218.0,44.0,85.0,2700.0,52.0,2.0,1016.6,-2.9,0.0,NE,1.1,Aotizhongxin,3
340,2013,3,15,3,182.0,200.0,42.0,87.0,2500.0,52.0,1.5,1016.3,-2.8,0.0,NE,1.6,Aotizhongxin,3
341,2013,3,15,4,173.0,189.0,36.0,82.0,2399.0,52.0,1.0,1016.2,-2.6,0.0,NE,0.8,Aotizhongxin,3
342,2013,3,15,5,166.0,177.0,33.0,80.0,2200.0,52.0,0.7,1016.1,-2.5,0.0,NE,1.2,Aotizhongxin,3
343,2013,3,15,6,163.0,170.0,37.0,79.0,2100.0,52.0,0.6,1016.0,-2.5,0.0,NE,1.2,Aotizhongxin,3
344,2013,3,15,7,137.0,156.0,43.0,75.0,1899.0,52.0,2.4,1016.3,-2.3,0.0,NNE,1.0,Aotizhongxin,3
345,2013,3,15,8,164.0,174.0,71.0,70.0,2100.0,52.0,4.2,1016.5,-2.2,0.0,NE,1.4,Aotizhongxin,3
346,2013,3,15,9,172.0,185.0,117.0,75.0,2200.0,52.0,6.4,1015.9,-2.5,0.0,NNE,1.4,Aotizhongxin,3
347,2013,3,15,10,173.0,186.0,118.0,75.0,2000.0,4.0,8.1,1015.1,-2.0,0.0,SE,1.6,Aotizhongxin,3
349,2013,3,15,12,110.0,331.0,125.0,91.0,1700.0,17.0,10.3,1013.2,-2.1,0.0,WSW,1.6,Aotizhongxin,3
350,2013,3,15,13,227.0,261.0,118.0,96.0,1700.0,52.0,12.0,1011.9,-1.2,0.0,SE,1.5,Aotizhongxin,3
351,2013,3,15,14,236.0,279.0,107.0,112.0,1899.0,52.0,12.2,1011.4,-0.7,0.0,SSW,2.7,Aotizhongxin,3
352,2013,3,15,15,256.0,305.0,102.0,147.0,2299.0,52.0,12.3,1010.9,-0.3,0.0,S,2.0,Aotizhongxin,3
353,2013,3,15,16,287.0,343.0,100.0,150.0,2100.0,43.0,11.5,1010.9,0.3,0.0,SW,3.4,Aotizhongxin,3
354,2013,3,15,17,278.0,320.0,91.0,113.0,1700.0,42.0,10.6,1011.6,0.9,0.0,SW,1.8,Aotizhongxin,3
355,2013,3,15,18,269.0,319.0,79.0,96.0,1700.0,44.0,9.1,1012.2,1.5,0.0,WSW,1.0,Aotizhongxin,3
356,2013,3,15,19,286.0,324.0,68.0,104.0,1800.0,44.0,7.0,1012.5,1.3,0.0,SSW,1.1,Aotizhongxin,3
357,2013,3,15,20,304.0,343.0,64.0,126.0,2000.0,44.0,6.3,1013.8,1.4,0.0,ESE,0.0,Aotizhongxin,3
358,2013,3,15,21,312.0,348.0,61.0,132.0,2100.0,44.0,7.1,1014.4,0.7,0.0,NNW,0.8,Aotizhongxin,3
359,2013,3,15,22,316.0,367.0,63.0,126.0,2500.0,44.0,7.3,1015.3,0.9,0.0,NNE,1.0,Aotizhongxin,3
360,2013,3,15,23,353.0,430.0,77.0,138.0,3200.0,44.0,7.3,1015.5,0.7,0.0,NNE,1.5,Aotizhongxin,3
361,2013,3,16,0,355.0,411.0,63.0,118.0,3299.0,44.0,6.5,1015.6,0.6,0.0,NE,1.1,Aotizhongxin,3
362,2013,3,16,1,328.0,357.0,49.0,111.0,2700.0,44.0,5.9,1015.9,0.2,0.0,NE,1.7,Aotizhongxin,3
363,2013,3,16,2,308.0,330.0,49.0,113.0,2399.0,44.0,5.9,1016.5,0.2,0.0,NE,1.5,Aotizhongxin,3
364,2013,3,16,3,304.0,332.0,55.0,108.0,2199.5,44.0,5.6,1017.0,0.4,0.0,WNW,1.0,Aotizhongxin,3
365,2013,3,16,4,314.0,316.0,51.0,108.0,2000.0,44.0,3.9,1018.0,0.6,0.0,NNE,1.3,Aotizhongxin,3
366,2013,3,16,5,276.0,300.0,47.0,91.0,1800.0,44.0,5.3,1018.7,0.3,0.0,N,1.6,Aotizhongxin,3
367,2013,3,16,6,276.0,293.0,50.0,87.0,1800.0,44.0,4.8,1019.3,0.4,0.0,NE,1.3,Aotizhongxin,3
368,2013,3,16,7,275.0,297.0,38.0,84.0,2100.0,44.0,6.0,1020.1,0.5,0.0,N,0.2,Aotizhongxin,3
369,2013,3,16,8,278.0,294.0,44.0,82.0,2200.0,44.0,8.4,1020.7,1.3,0.0,W,1.1,Aotizhongxin,3
370,2013,3,16,9,272.0,289.0,112.0,87.0,2100.0,44.0,10.7,1020.9,0.7,0.0,WSW,1.3,Aotizhongxin,3
371,2013,3,16,10,264.0,273.0,138.0,90.0,1899.0,44.0,12.6,1020.2,0.0,0.0,SW,2.8,Aotizhongxin,3
372,2013,3,16,11,270.0,243.0,109.0,88.0,1800.0,44.0,13.5,1019.9,-0.2,0.0,S,1.8,Aotizhongxin,3
373,2013,3,16,12,227.0,207.0,88.0,84.0,1899.0,54.0,14.0,1018.5,-0.9,0.0,SE,2.2,Aotizhongxin,3
374,2013,3,16,13,183.0,189.0,86.0,70.0,1899.0,80.0,14.1,1017.5,-0.4,0.0,SSW,2.5,Aotizhongxin,3
375,2013,3,16,14,166.0,169.0,76.0,61.0,1700.0,92.0,14.5,1016.6,0.3,0.0,S,2.1,Aotizhongxin,3
376,2013,3,16,15,150.0,167.0,71.0,62.0,1700.0,94.0,13.6,1015.6,1.2,0.0,S,2.0,Aotizhongxin,3
377,2013,3,16,16,165.0,212.0,80.0,78.0,2299.0,94.0,12.9,1015.1,1.5,0.0,S,1.9,Aotizhongxin,3
378,2013,3,16,17,185.0,204.0,85.0,81.0,2700.0,94.0,12.4,1014.8,1.7,0.0,S,2.1,Aotizhongxin,3
379,2013,3,16,18,216.0,217.0,83.0,90.0,2899.0,94.0,12.0,1014.2,2.2,0.0,SSE,2.4,Aotizhongxin,3
380,2013,3,16,19,188.0,217.0,75.0,101.0,2600.0,94.0,10.8,1014.7,2.6,0.0,S,1.2,Aotizhongxin,3
381,2013,3,16,20,197.0,223.0,61.0,85.0,2200.0,94.0,10.0,1014.6,2.1,0.0,S,1.6,Aotizhongxin,3
382,2013,3,16,21,228.0,242.0,56.0,90.0,2100.0,94.0,9.2,1014.1,1.8,0.0,SSW,2.7,Aotizhongxin,3
383,2013,3,16,22,242.0,204.0,59.0,108.0,2100.0,94.0,8.3,1013.4,2.1,0.0,SSW,1.8,Aotizhongxin,3
384,2013,3,16,23,210.0,204.0,58.0,92.0,1800.0,94.0,7.8,1012.6,2.0,0.0,S,1.5,Aotizhongxin,3
385,2013,3,17,0,166.0,192.0,50.0,86.0,1500.0,94.0,7.2,1012.2,2.1,0.0,SSW,1.5,Aotizhongxin,3
386,2013,3,17,1,162.0,194.0,48.0,90.0,1700.0,94.0,6.5,1011.2,1.8,0.0,WSW,1.3,Aotizhongxin,3
387,2013,3,17,2,176.0,211.0,45.0,95.0,2100.0,94.0,5.6,1009.8,2.2,0.0,WSW,1.0,Aotizhongxin,3
388,2013,3,17,3,217.0,219.0,43.0,98.0,2500.0,94.0,6.8,1008.8,2.3,0.0,WSW,1.4,Aotizhongxin,3
389,2013,3,17,4,183.0,195.0,46.0,86.0,2299.0,94.0,5.9,1007.9,2.2,0.0,W,0.6,Aotizhongxin,3
390,2013,3,17,5,180.0,188.0,50.0,71.0,2000.0,94.0,5.3,1007.5,2.5,0.0,WNW,0.7,Aotizhongxin,3
391,2013,3,17,6,184.0,223.0,44.0,85.0,2200.0,94.0,4.2,1006.0,1.9,0.0,WSW,0.6,Aotizhongxin,3
392,2013,3,17,7,206.0,210.0,40.0,83.0,2200.0,94.0,5.6,1005.8,2.1,0.0,NNE,0.6,Aotizhongxin,3
393,2013,3,17,8,206.0,237.0,39.0,80.0,2700.0,94.0,7.6,1005.3,2.1,0.0,WSW,0.6,Aotizhongxin,3
394,2013,3,17,9,257.0,259.0,84.0,92.0,2899.0,94.0,9.3,1004.7,2.4,0.0,WSW,0.7,Aotizhongxin,3
395,2013,3,17,10,267.0,283.0,119.0,104.0,3100.0,94.0,10.6,1003.6,2.7,0.0,SW,0.8,Aotizhongxin,3
396,2013,3,17,11,293.0,321.0,124.0,126.0,3399.0,94.0,12.9,1001.9,3.0,0.0,E,1.4,Aotizhongxin,3
397,2013,3,17,12,322.0,326.0,126.0,146.0,3000.0,94.0,14.4,1000.1,2.9,0.0,SSW,1.2,Aotizhongxin,3
398,2013,3,17,13,294.0,347.0,120.0,142.0,2799.0,94.0,15.1,998.7,3.2,0.0,S,2.1,Aotizhongxin,3
399,2013,3,17,14,332.0,372.0,116.0,124.0,2700.0,94.0,15.9,997.5,3.7,0.0,S,1.5,Aotizhongxin,3
400,2013,3,17,15,352.0,392.0,113.0,116.0,2600.0,102.0,15.5,996.6,3.9,0.0,S,1.8,Aotizhongxin,3
401,2013,3,17,16,362.0,383.0,94.0,106.0,2299.0,105.0,15.3,996.2,4.0,0.0,SW,0.9,Aotizhongxin,3
402,2013,3,17,17,356.0,369.0,92.0,98.0,2200.0,107.0,14.1,996.1,4.9,0.0,SSW,0.9,Aotizhongxin,3
403,2013,3,17,18,344.0,367.0,80.0,105.0,2200.0,107.0,12.0,996.1,4.5,0.0,N,0.9,Aotizhongxin,3
404,2013,3,17,19,357.0,395.0,64.0,136.0,2500.0,58.0,9.3,996.1,4.7,0.0,NE,0.0,Aotizhongxin,3
405,2013,3,17,20,364.0,390.0,50.0,166.0,2799.0,107.0,11.5,996.3,4.7,0.0,NNE,1.7,Aotizhongxin,3
406,2013,3,17,21,392.0,442.0,61.0,167.0,2899.0,107.0,10.9,996.2,3.9,0.0,NE,1.9,Aotizhongxin,3
407,2013,3,17,22,423.0,462.0,64.0,174.0,3299.0,107.0,10.0,995.9,4.1,0.0,NNE,1.5,Aotizhongxin,3
408,2013,3,17,23,434.0,455.0,56.0,157.0,3500.0,107.0,8.7,996.0,3.7,0.0,NE,1.9,Aotizhongxin,3
409,2013,3,18,0,450.0,494.0,48.0,156.0,4099.0,107.0,9.0,995.9,2.8,0.0,N,1.8,Aotizhongxin,3
410,2013,3,18,1,463.0,476.0,45.0,154.0,3799.0,107.0,8.8,996.3,-1.1,0.0,NNW,1.1,Aotizhongxin,3
411,2013,3,18,2,308.0,476.0,57.0,111.0,2100.0,107.0,10.9,996.2,-7.4,0.0,NNE,2.3,Aotizhongxin,3
428,2013,3,18,19,78.0,285.0,45.0,62.0,1100.0,38.0,5.4,1002.9,-3.4,0.0,SSW,7.0,Aotizhongxin,3
491,2013,3,21,10,130.0,141.0,23.0,75.0,1700.0,2.0,3.7,1004.5,-1.9,0.0,NNW,1.7,Aotizhongxin,3
492,2013,3,21,11,142.0,163.0,39.0,82.0,1700.0,6.0,5.0,1003.0,-1.9,0.0,ENE,2.4,Aotizhongxin,3
493,2013,3,21,12,162.0,172.0,44.0,88.0,1600.0,10.0,6.2,1002.1,-1.5,0.0,ENE,2.0,Aotizhongxin,3
494,2013,3,21,13,178.0,187.0,44.0,90.0,1600.0,15.0,6.9,1001.3,-1.3,0.0,NNE,3.0,Aotizhongxin,3
495,2013,3,21,14,181.0,194.0,42.0,101.0,1700.0,18.0,7.5,1000.4,-1.2,0.0,NNW,1.4,Aotizhongxin,3
496,2013,3,21,15,187.0,202.0,38.0,98.0,1600.0,26.0,7.7,1000.0,-0.8,0.0,ENE,1.4,Aotizhongxin,3
497,2013,3,21,16,188.0,205.0,40.0,107.0,1600.0,22.0,7.7,999.8,-0.8,0.0,N,1.7,Aotizhongxin,3
